,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЖК,Novatoria 37491,Элементс (ELEMENTS) 33985,АкадемГородок 37348,Зелёный бульвар 31111,Зелёный бульвар 28631,Солярис 40263,Невельской 11897,Четыре горизонта 37838,"Нерчинская, 10 34535",Лидер 41415,Лидер 41416,Лидер 41417,Шилкинский 42442,Антарес 34713,Айвазовский 39803,Айвазовский 39804,Видный 35879,Каштановый двор 43288,Каштановый двор 43289,Каштановый двор 43290,Каштановый двор 43291,Восход 40376,Восход 40377,Восход 40378,Садгород-357,Садгород-295,"Давыдова, 60 32132","Давыдова, 60 32133","Давыдова, 60 32134","50 лет Октября, 1 38543","2-я Поселковая, 3 41041",Формат 43702,Формат 44614,Формат 41550,Формат 41119,"10-я Рабочая, 80 36321",Босфорский парк 42348,Босфорский парк 42347,Времена года,Горизонт 39074,Адмиралтейский 37918,Адмиралтейский 43196,"Садгородская, 23 41482",Эко Сити 36674,АРКАДА-АРТ 8652,Акватория 42343,Восточный ЛУЧ-5,Восточный ЛУЧ-6,Восточный ЛУЧ-7,Восточный ЛУЧ-8,Восточный ЛУЧ-9,Восточный ЛУЧ-10,Новые горизонты,"Басаргина, д. 2","Басаргина, д. 2, б/с 2 10 эт","Басаргина, д. 2, б/с 2 18 эт","Борисенко, д. 100, лит. Е","Изумрудный, 1оч",Атлантикс Сити 26212,Журавли 44779,Журавли 44780,MORE 44127,Южный 37898,Южный 37899,Южный 37900,Atmosfera 27414,Atmosfera 27416,Чайка 3062,Акватория 42344,Кленовый 38049,Эко-хаус Пастораль 44416,Зелёный бульвар 42445,Зелёный бульвар 42446,Мед 40107,Сады Маковского 44951,Сады Маковского 44952,Нобель 44228,Смородина 39333,Седанка Хиллс 43467,Седанка Хиллс 43468,Седанка Хиллс 43469,Prime Park 44430,Prime Park 44431,Costa Azzurra 44670,Costa Azzurra 44671,Panorama 43671,Panorama 43670,Футурист 44108,Футурист 44109,Футурист 44110,Молодежный 40104,Седанка Хиллс 43850,Седанка Хиллс 43470,Седанка Хиллс 43471,Изумрудный 13283,Изумрудный 13284,Изумрудный 13285,Изумрудный 37526,Изумрудный 37527,Брусника 43103,Брусника 43102,Брусника 43107,Брусника 43106,Брусника 43108,Брусника 43105,Фрегат 2 36573,Фрегат 2 36572,Фрегат 2 36571,Фрегат 2 36575,Лесная 32173,Лесная 32174,Лесная 32175,"Борисенко, 100 38128","Борисенко, 100 38129","Снеговая Падь, 1 41829",Восточный луч 37333,Прибрежный 44170,Долина 42157
Количество квартир,364,88,450,325,209,272,255,289,240,220,220,220,129,156,125,126,598,249,249,249,249,30,47,30,32,68,100,89,98,197,278,92,108,68,66,120,191,264,129,340,308,319,28,230,336,311,312,312,312,312,312,312,103,135,108,135,136,109,176,42,100,351,322,252,112,436,436,316,311,80,48,325,209,128,514,257,78,200,66,47,36,242,460,108,135,175,204,142,141,259,416,93,51,67,351,351,348,219,219,36,21,24,24,24,36,264,264,264,275,145,143,343,240,230,200,312,352,171
Общая площадь квартир,"24 247,00","6 024,00","14 572,00","10 170,00","12 043,00","17 862,00","15 581,00","18 658,00","13 085,00","11 831,00","11 831,00","11 831,00","8 208,00",9 151,"6 122,00","6 083,00","29 037,00","13 035,00","13 035,00","13 035,00","13 035,00","1 983,00","2 990,00","1 983,00","1 927,00","3 181,00","4 975,00","4 577,00","4 966,00","11 087,00",12 341,5 767,6 633,5 831,5 652,8 002,7 829,10 776,7 483,15 227,12 068,12 511,1 635,14 981,23 344,24 798,12 549,12 549,12 549,12 549,12 549,12 549,12 068,6 381,7 500,10 250,5 075,5 662,25 046,"2 386,00","4 546,00","20 599,00",9247,"7 250,00","5 762,00","12 558,00","12 558,00","18 229,00","12 399,00","3 320,00","3 292,00","12 043,00","10 170,00","7 209,00","35 741,00","17 871,00","4 742,00","12 215,00","3 294,00","2 206,00","2 128,00","10 076,00","19 226,00","6 331,00","6 329,00","8 261,00","8 383,00","8 074,00","8 067,00","12 597,00","18 320,00","4 697,00","2 743,00","3 375,00","12 060,00","12 059,00","12 037,00","12 661,00","12 635,00","2 084,00","1 219,00","1 389,00","1 389,00","2 114,00","2 084,00","10 822,00","11 093,00","11 083,00","11 548,00","7 280,00","7 174,00","17 759,00","11 890,00","11 407,00","9 936,00","13 290,00","17 845,00","9 023,00"
Дата получения РС,21.09.2020,23.08.2019,09.10.2017,30.08.2021,30.08.2021,16.03.2021,19.01.2016,28.10.2020,08.02.2018,27.04.2021,27.04.2021,27.04.2021,20.08.2021,09.06.2018,30.03.2021,30.03.2021,29.12.2018,14.09.2021,14.09.2021,14.09.2021,14.09.2021,19.08.2020,19.08.2020,19.08.2020,18.10.2021,14.12.2021,19.11.2018,19.11.2018,19.11.2018,13.06.2018,18.05.2018,22.06.2021,22.06.2021,15.12.2020,19.08.2020,10.03.2020,20.08.2021,20.08.2021,03.03.2021,16.02.2021,03.06.2020,03.06.2020,01.07.2021,29.06.2018,29.04.2015,03.03.2021,26.06.2018,26.06.2018,26.06.2018,26.06.2018,26.06.2018,26.06.2018,03.03.2021,23.06.2021,23.06.2021,16.06.2021,13.07.2021,18.05.2018,01.03.2016,17.01.2022,17.01.2022,14.12.2021,27.06.2018,27.06.2018,27.06.2018,16.04.2018,16.04.2018,26.12.2016,03.03.2021,06.10.2020,06.12.2021,30.08.2021,30.08.2021,23.03.2021,18.10.2021,18.10.2021,20.09.2021,30.10.2020,11.10.2021,11.10.2021,11.10.2021,15.12.2021,15.12.2021,21.12.2021,18.01.2022,29.10.2021,29.10.2021,02.12.2021,02.12.2021,02.12.2021,25.03.2021,28.07.2021,10/11/2021,10/11/2021,6/9/2018,6/9/2018,6/9/2018,5/23/2018,5/23/2018,1/26/2021,1/26/2021,1/26/2021,1/26/2021,1/26/2021,1/26/2021,6/5/2018,6/5/2018,6/5/2018,10/21/2019,6/19/2019,6/19/2019,6/19/2019,9/30/2020,9/30/2020,7/5/2021,6/26/2018,11/29/2021,4/6/2021
Дата публикации ИНС,07.10.2020,15.11.2019,12.10.2020,06.09.2021,06.09.2021,26.05.2021,01.06.2017,24.11.2020,02.04.2018,11.05.2021,11.05.2021,11.05.2021,31.08.2021,08.07.2019,12.04.2021,12.04.2021,30.11.2019,19.10.2021,19.10.2021,19.10.2021,19.10.2021,16.04.2021,16.04.2021,16.04.2021,18.10.2021,14.12.2021,31.12.2018,31.12.2018,31.12.2018,06.04.2020,30.04.2021,05.07.2021,05.07.2021,25.12.2020,28.08.2020,10.07.2020,31.08.2021,31.08.2021,07.06.2021,15.03.2021,16.11.2020,16.11.2020,20.08.2021,20.03.2020,20.08.2015,18.05.2021,12.11.2020,12.11.2020,12.11.2020,12.11.2020,12.11.2020,12.11.2020,05.07.2021,05.07.2021,02.07.2021,02.07.2021,23.08.2021,27.10.2020,13.11.2018,08.02.2022,08.02.2022,12.01.2022,01.05.2020,01.05.2020,01.05.2020,01.10.2018,01.10.2018,01.07.2017,29.09.2021,20.10.2020,01.03.2022,16.09.2021,16.09.2021,01.04.2021,12.11.2021,12.11.2021,11.10.2021,01.03.2021,22.12.2021,22.12.2021,22.12.2021,18.12.2021,18.12.2021,27.12.2021,27.12.2021,22.11.2021,22.11.2021,30.12.2021,30.12.2021,30.12.2021,10.05.2021,09.08.2021,12/30/2021,12/30/2021,6/1/2019,6/1/2019,6/1/2019,9/1/2019,9/1/2019,1/27/2021,1/27/2021,1/27/2021,1/27/2021,1/27/2021,1/27/2021,3/1/2020,3/1/2020,3/1/2020,3/1/2020,6/19/2019,6/19/2019,6/19/2019,10/1/2020,10/1/2020,8/1/2021,12/1/2019,1/18/2022,4/6/2021
Подъездов в доме,3,1,1,1,1,1,2,10,1,1,1,1,1,1,2,2,2,1,1,1,1,2,3,2,2,2,2,2,2,1,1,5,5,6,6,1,1,1,6,2,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,5,4,1,1,1,1,1,2,1,1,2,1,1,1,2,1,3,5,3,2,3,1,3,2,1,1,1,2,2,1,1,3,2,3,1,1,1,1,1,3,2,2,2,3,3,1,1,1,1,3,3,7,1,1,2,1,2,1
Количество квартир на этаже,7,5,18,12,8,15,11,5,10,10,10,10,8,7,8,8,12,10,10,10,10,4,4,4,4,4,5,5,5,9,13,5,6,4,4,6,12,11,5,10,14,14,7,10,5,13,13,13,13,13,13,13,6,8,6,4,4,5,4,6,5,7,14,14,112,19,19,7,13,9,6,14,10,9,10,10,4,4,7,6,4,11,13,6,8,8,9,5,4,11,20,4,6,6,16,16,16,10,10,3,3,3,3,2,3,11,11,11,11,5,5,5,10,10,6,13,8,9
Количество этажей,23,23,29,26,25,18,23,7,25,24,26,26,21,25,11,11,28,26,26,26,26,5,5,5,5,5,10,9,10,25,24,5,5,5,5,25,18,26,4,22,25,25,4,28,28,26,26,26,26,26,26,26,10,18,10,18,18,24,24,5,5,16,25,19,15,24,24,27,26,11,4,26,25,20,30,30,9,10,4,4,4,26,19,11,18,25,25,17,17,25,24,10,4,4,24,25,24,24,24,5,5,5,5,5,5,27,27,27,27,10,10,10,24,24,19,26,25,20
Пассажирских лифтов в доме,6,2,3,1,2,4,2,10,5,1,1,1,2,2,1,1,6,2,2,2,2,0,0,0,0,0,2,2,2,1,2,0,0,0,0,3,2,3,0,6,2,2,0,2,3,2,3,3,3,3,3,3,0,1,0,2,2,3,2,2,5,8,2,3,2,4,4,4,2,1,0,2,1,1,4,2,3,5,3,2,2,4,6,2,1,2,3,2,2,2,6,3,2,3,3,3,3,3,3,0,0,0,0,0,0,2,2,2,2,3,3,7,1,1,4,3,6,2
Грузовых лифтов в доме,3,0,3,2,2,2,6,0,0,2,2,2,1,0,2,2,2,2,2,2,2,0,0,0,0,0,2,0,2,2,1,0,0,0,0,2,0,0,0,6,2,2,0,2,6,1,1,1,1,1,1,1,2,1,2,2,2,2,2,0,0,8,2,1,1,0,0,2,1,0,2,2,2,2,4,2,3,0,0,0,0,4,6,2,1,0,0,2,2,1,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,3,3,7,2,2,2,1,0,1
Инфраструктура: Продукты,50,50,20,29,29,50,50,13,50,23,23,23,50,50,29,29,50,50,50,50,50,48,48,48,8,8,50,50,50,1,50,3,3,3,3,50,50,50,12,50,32,32,5,42,50,50,39,39,39,39,39,39,29,29,29,29,29,50,50,10,10,50,50,50,50,50,50,13,50,50,13,36,38,50,10,10,50,11,9,9,9,50,50,50,50,50,50,50,50,50,50,26,9,9,48,50,50,50,50,14,14,12,13,13,13,50,50,50,50,50,50,50,50,50,31,32,10,50
Инфраструктура: Медицина,11,9,1,0,0,7,6,2,17,1,1,1,5,3,0,0,3,3,3,3,3,1,1,1,0,0,3,3,3,0,0,0,0,0,0,4,0,0,0,4,2,2,0,0,6,0,2,2,2,2,2,2,0,0,0,0,0,3,11,0,0,7,1,1,1,5,5,1,0,4,0,0,0,4,0,0,8,2,0,0,0,5,5,2,2,4,4,4,4,4,2,3,0,0,2,2,2,3,2,0,0,0,0,0,0,4,4,4,4,2,2,2,1,2,2,2,0,1
Инфраструктура: Спорт,50,24,9,2,2,38,34,2,50,2,2,2,40,33,3,3,38,17,17,17,17,20,20,20,3,3,33,33,33,0,15,0,0,0,0,27,9,9,2,20,2,2,3,15,22,16,4,4,4,4,4,4,7,7,7,7,7,9,50,3,3,48,12,12,12,37,35,9,18,18,3,2,2,27,1,1,50,2,1,1,1,28,28,11,11,32,34,30,30,30,4,7,1,1,4,4,4,9,9,4,4,4,4,4,4,19,21,24,20,23,24,21,11,11,1,1,9,11
Инфраструктура: Новостройки,7,5,20,20,20,7,10,5,9,31,31,31,8,4,22,22,0,11,11,11,11,3,3,3,12,12,21,21,21,1,10,6,6,6,6,17,22,22,13,13,35,35,13,10,6,10,41,41,41,41,41,41,22,22,22,22,22,40,9,16,16,6,37,37,37,23,23,22,10,16,57,21,21,16,11,11,16,7,11,11,11,19,18,38,38,17,18,7,7,7,50,0,11,11,53,55,55,50,54,9,9,9,9,9,9,20,22,24,20,37,37,35,38,38,47,47,22,16
Инфраструктура: Школы,6,3,0,3,3,8,9,1,8,2,2,2,6,5,1,1,9,6,6,6,6,4,4,4,1,1,8,8,8,0,5,0,0,0,0,12,5,5,1,7,2,2,1,4,3,4,2,2,2,2,2,2,3,3,3,3,3,2,4,1,1,5,5,5,5,8,8,0,5,8,2,3,3,8,1,1,5,0,0,0,0,11,11,4,4,9,9,4,4,4,2,2,0,0,2,2,2,2,2,1,1,1,1,1,1,6,6,6,6,3,3,1,4,4,2,3,0,6
Инфраструктура: Детские сады,7,3,1,2,2,4,10,2,10,1,1,1,11,10,2,2,7,9,9,9,9,3,3,3,0,0,4,4,4,0,8,0,0,0,0,24,8,8,1,16,3,3,0,4,7,7,3,3,3,3,3,3,4,4,4,4,4,2,8,2,2,9,5,5,5,9,8,1,3,10,0,3,3,8,1,1,5,1,0,0,0,14,14,2,2,16,16,6,6,6,1,1,0,0,1,1,1,2,2,1,1,1,1,1,1,6,7,7,7,6,6,4,2,2,3,3,1,8
Всероссийский застройщик,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
Количество студий,0,0,400,113,0,0,0,16,0,0,0,0,0,0,9,9,132,25,25,25,25,0,0,0,4,0,0,0,0,0,64,10,0,0,0,0,62,89,0,68,220,220,0,0,0,72,60,60,60,60,60,60,0,0,0,10,0,0,0,6,24,80,276,216,14,344,344,0,72,38,0,99,14,0,0,0,0,0,21,7,0,88,129,0,0,1,117,0,0,69,202,0,0,17,220,220,217,0,0,0,0,0,0,0,0,105,96,81,101,0,0,0,0,0,0,72,0,0
Количество однокомнатных квартир,68,1,50,161,143,0,98,24,0,100,100,100,16,42,53,53,192,100,100,100,100,8,16,8,9,40,62,51,58,66,128,16,12,0,0,0,67,75,36,170,0,0,12,0,0,191,140,140,140,140,140,140,66,101,54,65,2,44,1,14,49,56,46,35,0,92,92,136,191,32,16,192,112,48,104,52,32,51,14,18,14,44,140,54,101,87,1,63,62,80,46,45,20,16,65,65,63,87,87,12,7,8,8,0,12,87,48,87,49,86,85,203,144,138,97,168,176,57
Количество двухкомнатных квартир,86,33,0,33,31,174,62,79,192,0,0,0,64,67,5,6,130,0,0,0,0,6,7,6,7,18,0,1,0,58,65,11,21,10,7,80,32,50,9,102,88,99,1,138,84,47,20,20,20,20,20,20,70,34,36,39,68,44,22,5,4,43,0,1,84,0,0,67,47,0,8,24,40,15,0,0,4,3,8,16,8,88,191,0,0,44,41,10,10,16,90,31,15,18,22,22,24,22,22,0,0,0,0,0,0,39,120,87,125,0,0,0,48,46,33,24,132,57
Количество трехкомнатных квартир,123,17,0,14,19,30,8,115,48,110,110,110,23,47,50,50,72,97,97,97,97,6,7,6,8,10,38,37,40,73,21,26,38,19,23,0,30,50,60,0,0,0,8,0,115,1,40,40,40,40,40,40,70,0,18,19,66,22,69,11,19,73,0,0,1,0,0,57,1,9,8,10,23,53,308,154,12,99,11,6,5,22,0,36,34,43,45,63,62,94,78,17,15,8,44,44,44,88,88,21,12,0,14,0,21,33,0,9,0,59,58,110,1,0,70,48,0,38
Количество четырехкомнатных квартир,65,34,0,4,16,43,71,42,0,10,10,10,6,0,8,8,72,26,26,26,26,8,6,8,0,0,0,0,0,0,0,29,37,21,23,20,0,0,24,0,0,0,7,46,131,0,0,0,0,0,0,0,0,0,0,2,0,0,91,2,2,89,0,0,0,0,0,36,0,0,8,0,20,12,100,50,28,47,12,0,6,0,0,18,0,0,0,6,7,0,0,0,1,8,0,0,0,22,22,3,2,14,2,24,3,0,0,0,0,0,0,30,47,46,0,0,44,19
Количество остальных квартир,19,3,0,0,0,25,15,15,0,0,0,0,20,0,0,0,0,0,0,0,0,2,1,2,4,0,0,0,0,0,0,0,0,18,13,20,0,0,0,0,0,0,0,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7,0,0,0,0,0,20,0,1,8,0,0,0,2,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Высота потолков,3,"3,20","2,65","2,70","2,70","2,80","2,80","2,85","2,70","2,75","2,75","2,75","2,85","2,70","2,80","2,80","2,72","2,70","2,70","2,70","2,70","2,85","2,85","2,85","2,80","2,80","2,63","2,63","2,63","2,80","2,70","2,70","2,70","2,70","2,70","2,70","2,62","2,62","2,75","2,90","2,70","2,70","2,80","2,80","2,70","2,70","2,70","2,70","2,70","2,70","2,70","2,70","2,74","2,70","2,75","2,75","2,80","2,70","2,85","2,85","2,85","2,90","2,8","2,8","2,8","2,7","2,7","2,86","2,7","2,75","2,81","2,73","2,74","2,7",3,3,"2,7","2,75","3,3","3,3","3,3","2,85","2,85","2,72","2,74","2,7","2,7","2,9","2,89","2,89","3,52","2,80","3,3","3,3","2,7","2,7","2,7","2,7","2,7","2,75","2,75","2,75","2,75","2,75","2,75","2,72","2,7","2,7","2,72","2,63","2,63","2,63","2,55","2,55","2,7","2,7","2,7","2,8"
Площадь коммерческих помещений,"1 224,00","395,58","565,11","480,70","209,00","2 567,60","5 038,64","0,00","457,03","571,93","571,93","574,12","1 097,27","388,00","770,90","748,10","588,93","274,80","0,00","0,00","262,40","0,00","0,00","0,00","170,04","255,70","0,00","0,00","0,00","702,50","693,30","0,00","0,00","0,00","0,00","0,00","551,50","134,50","18,79","1 588,92","543,21","0,00","0,00","4 323,47","2 427,99","146,53","0,00","0,00","0,00","0,00","0,00","0,00","432,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","392,00",0,0,"0,00","332,86","329,16","882,31","146,53",0,0,"480,00","231,00",744,"146,28","73,14","414,49",0,0,0,0,732,143,153,0,667,25,0,0,186,3057,0,0,218,"576,9","211,2","211,2","205,5","205,5",0,0,0,0,0,0,501,399,447,0,0,0,0,0,"185,4",0,0,0,"360,63"
Всего парковочных мест,293,79,157,89,199,190,224,197,166,328,328,328,95,103,71,71,305,130,130,130,130,21,33,21,25,25,75,73,74,244,156,92,108,83,73,76,134,178,90,178,172,335,20,142,263,218,164,164,164,164,164,164,152,68,137,137,70,75,314,34,74,199,181,181,182,142,142,99,218,39,34,288,487,90,638,236,65,113,58,58,58,0,356,106,106,139,105,94,94,99,258,56,65,65,100,100,100,150,150,85,77,79,79,79,85,89,79,96,100,46,46,110,78,74,102,162,193,90
Парковочных мест внутри дома,293,75,0,0,199,178,213,197,160,118,117,117,95,0,0,0,279,92,93,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,176,0,0,0,129,255,0,0,0,0,0,0,0,0,0,0,0,0,75,216,0,0,199,53,53,0,0,0,0,69,28,0,0,199,90,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,223,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,193,0
Парковочных мест у дома,0,4,19,89,0,0,0,0,0,106,106,106,0,103,0,0,0,0,0,0,0,0,0,0,0,0,30,29,29,69,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,73,73,73,73,73,73,0,0,0,0,0,0,20,0,0,0,0,0,54,142,142,59,0,0,0,0,0,0,623,221,0,0,34,34,34,0,347,0,0,80,46,86,86,86,30,0,41,41,100,100,100,150,150,18,10,12,12,12,18,77,77,77,80,46,46,110,0,0,0,0,0,0
Гостевых мест,0,0,0,0,0,12,11,0,6,12,11,11,0,0,71,71,26,38,39,39,39,21,33,21,25,50,45,44,45,175,9,92,108,83,73,0,134,178,90,2,172,335,20,13,8,149,68,68,68,68,68,68,152,68,137,137,70,0,78,34,74,0,128,128,128,0,0,40,149,11,34,288,288,5,15,15,0,113,24,24,24,0,9,106,106,59,59,8,8,13,5,6,24,24,0,0,0,0,0,67,67,67,67,67,67,12,2,19,20,0,0,0,78,74,102,89,0,90
Общая площадь земельного участка,9868,1800,6001,"7021,5","7021,5",10050,5881,14124,4218,8825,8825,8825,6 264,3 622,5793,5793,35198,5940,5940,5940,5940,8399,8399,8399,3434,3434,8638,8638,8638,11251,7030,13773,13773,13773,13773,11430,31894,31894,38103,25404,18146,18146,2814,14890,8052,14681,7833,7833,7833,7833,7833,7833,4100,4900,4500,4700,5936,11500,7126,2400,6000,7225,3672,3672,3672,6404,6404,11276,7340,1980,3191,"7021,5","7021,5",2900,7736,3868,3800,9876,5241,5241,5241,3933,7476,6877,6877,6116,18787,3032,3011,5531,11600,2782,5241,5241,9122,9122,9122,8578,8578,3649,2129,2433,2433,2433,3649,20627,20627,20627,20627,4712,4647,11148,8478,8124,12425,11997,3575,12441
Площадь детских площадок,230,255,325,0,0,401,0,463,420,306,306,306,203,205,718,718,678,"367,6","367,6","367,6","367,6",50,74,50,54,87,141,141,140,225,314,"139,6","161,74","165,8","155,3",85,213,266,183,376,215,223,0,168,0,572,576,576,576,576,576,576,"149,5",160,415,420,256,125,0,57,127,396,296,231,103,311,310,450,286,76,81,297,251,178,602,301,117,301,97,69,53,218,415,233,292,204,207,199,199,311,433,116,74,97,237,237,237,250,250,55,32,36,36,36,55,272,272,272,283,133,131,314,280,269,229,274,187,223
Площадь особых площадок,53,0,73,0,0,114,0,"393,2",141,193,193,193,216,253,193,193,387,390,390,390,390,159,205,179,91,87,15,15,16,107,159,"155,59","194,74",39,39,57,224,291,200,411,77,244,0,60,0,625,214,214,214,214,214,214,"42,4",46,106,109,73,66,0,35,75,87,70,70,24,88,88,127,81,11,23,84,71,50,227,113,33,85,30,22,17,53,102,67,84,57,58,56,56,88,121,33,23,30,41,41,41,33,33,15,9,10,10,10,15,77,77,77,80,19,18,45,79,76,65,39,32,63
Площадь спортивных площадок,700,290,911,400,400,226,0,485,463,482,482,482,214,0,"160,5","160,5",971,353,353,353,353,112,232,112,105,107,258,258,258,0,162,144,"164,6",105,144,120,334,280,192,396,308,330,21,240,0,602,823,823,823,823,823,823,"157,4",169,260,254,270,0,0,110,240,327,327,418,145,326,326,473,301,245,85,313,264,187,699,349,123,317,74,53,40,164,313,222,278,214,217,210,88,327,225,122,56,74,0,0,0,0,0,58,34,38,38,38,58,286,286,286,298,192,189,454,295,282,241,392,120,234
Высота над уровнем моря,34,35,40,100,100,80,66,9,150,134,134,134,135,60,33,33,91,112,112,112,112,50,50,50,5,5,85,85,85,22,105,17,17,17,17,177,67,67,51,125,88,88,21,88,54,81,128,128,128,128,128,128,30,42,42,42,42,95,37,15,15,11,152,148,146,37,43,56,72,103,50,100,100,71,25,25,75,30,60,60,60,160,160,43,43,123,123,118,118,118,63,19,60,62,90,102,97,124,114,54,50,55,44,46,46,88,79,77,77,126,126,126,62,64,91,121,56,168
